"Marca temporal","¿Consume pan?","Número de integrantes de la familia","¿Qué tan importante es la ingesta de pan diariamente? 1 al 5, siendo 5 la más importante","Con que frecuencia consume pan","Cuando compra pan, ¿Qué prefiere usted?","Al momento de comprar pan, ¿Donde lo realiza?","¿Qué variable considera al momento de comprar pan envasado?","¿Porque razón compra pan envasado principalmente?","Respecto al tamaño del envase,¿Cuál prefiere?","¿Qué marca de pan envasado prefiere?","¿Con qué frecuencia consume pan envasado?"
"2018/11/19 12:05:41 p. m. GMT-3","Si","3 integrantes","3","todos los días","envasado","Supermercados","Precio","Durabilidad","250 gramos","Marcas tradicionales de supermercados","todos los días"
"2018/11/19 12:05:58 p. m. GMT-3","Si","3 integrantes","5","todos los días","pan preparado","Supermercados","Todas las anteriores","Sabor","700 gramos","Fuch","todos los días"
"2018/11/19 12:06:06 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocaciones especiales","700 gramos","Castaño","ocacionalmente"
"2018/11/19 12:06:33 p. m. GMT-3","Si","3 integrantes","4","todos los días","granel","Panderias","Precio","Ocaciones especiales","580 gramos","Ideal","ocacionalmente"
"2018/11/19 12:07:51 p. m. GMT-3","Si","3 integrantes","2","3 o más veces por semana","pan preparado","Panderias","Marca","Rápido de preparar","580 gramos","Ideal","ocacionalmente"
"2018/11/19 12:08:07 p. m. GMT-3","Si","3 integrantes","5","todos los días","granel","Panderias","Precio","Rápido de preparar","580 gramos","Marcas tradicionales de supermercados","ocacionalmente"
"2018/11/19 12:08:59 p. m. GMT-3","Si","2 integrantes","5","todos los días","envasado","Panderias","Precio","Rápido de preparar","700 gramos","Ideal","ocacionalmente"
"2018/11/19 12:09:16 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Panderias","Cantidad","Ocaciones especiales","700 gramos","Fuch","ocacionalmente"
"2018/11/19 12:09:18 p. m. GMT-3","Si","3 integrantes","3","3 o más veces por semana","pan preparado","Almacenes de barrio","Precio","Rápido de preparar","700 gramos","Cena","ocacionalmente"
"2018/11/19 12:10:17 p. m. GMT-3","Si","Más de 3 integrantes","4","3 o más veces por semana","granel","Panderias","Todas las anteriores","Ocaciones especiales","700 gramos","Ideal","ocacionalmente"
"2018/11/19 12:10:40 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Precio","Ocaciones especiales","700 gramos","Fuch","ocacionalmente"
"2018/11/19 12:13:16 p. m. GMT-3","Si","Más de 3 integrantes","2","todos los días","granel","Almacenes de barrio","Precio","Ocaciones especiales","300 gramos","Fuch","ocacionalmente"
"2018/11/19 12:13:37 p. m. GMT-3","Si","2 integrantes","3","ocasionalmente","pan preparado","Almacenes de barrio","Precio","Ocaciones especiales","700 gramos","Fuch","ocacionalmente"
"2018/11/19 12:13:50 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Supermercados","Precio","Durabilidad","700 gramos","Castaño","ocacionalmente"
"2018/11/19 12:15:16 p. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Panderias","Todas las anteriores","Durabilidad","300 gramos","Castaño","ocacionalmente"
"2018/11/19 12:15:33 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Panderias","Todas las anteriores","","300 gramos","Ideal",""
"2018/11/19 12:15:59 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Panderias","Cantidad","","700 gramos","Ideal",""
"2018/11/19 12:16:56 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Precio","Ocasiones especiales","580 gramos","Cena","ocasionalmente"
"2018/11/19 12:17:40 p. m. GMT-3","Si","3 integrantes","2","ocasionalmente","granel","Supermercados","Todas las anteriores","Durabilidad","700 gramos","Ideal",""
"2018/11/19 12:17:52 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Precio","Rápido de preparar","700 gramos","Castaño","ocasionalmente"
"2018/11/19 12:18:30 p. m. GMT-3","Si","2 integrantes","1","ocasionalmente","envasado","Supermercados","Valor nutricional","Rápido de preparar","700 gramos","Fuch","3 veces por semana"
"2018/11/19 12:19:58 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","300 gramos","Fuch","ocasionalmente"
"2018/11/19 12:20:31 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","pan preparado","Panderias","Cantidad","Sabor","300 gramos","Castaño","ocasionalmente"
"2018/11/19 12:21:56 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Marca","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 12:22:16 p. m. GMT-3","Si","Más de 3 integrantes","5","ocasionalmente","granel","Panderias","Valor nutricional","Rápido de preparar","250 gramos","Castaño",""
"2018/11/19 12:25:23 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","","3","","granel","Panderias","Precio","Ocasiones especiales","580 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/19 12:26:52 p. m. GMT-3","Si","3 integrantes","2","todos los días","envasado","Supermercados","Valor nutricional","Sabor","250 gramos","Fuch","todos los días"
"2018/11/19 12:28:11 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Cantidad","Ocasiones especiales","300 gramos","Ideal","ocasionalmente"
"2018/11/19 12:28:38 p. m. GMT-3","Si","3 integrantes","4","todos los días","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/19 12:29:12 p. m. GMT-3","Si","vivo solo","2","ocasionalmente","indiferente","Panderias","Todas las anteriores","Durabilidad","250 gramos","Castaño","ocasionalmente"
"2018/11/19 12:30:54 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Supermercados","Cantidad","Rápido de preparar","700 gramos","Ideal","ocasionalmente"
"2018/11/19 12:32:39 p. m. GMT-3","Si","Más de 3 integrantes","4","3 o más veces por semana","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/19 12:40:45 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","vivo solo","1","ocasionalmente","granel","Supermercados","Marca","Sabor","250 gramos","Castaño","ocasionalmente"
"2018/11/19 12:45:02 p. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
